profile	frame_counter	ascent_rate_ms	latitude	longitude	altitude_m	vn_ms	ve_ms	vu_ms	battery_mv	tx_ma	system_temp_c	sats_used	fix_type	pdop	hdop	vdop	gps_week	tow_ms	cal_version	pressure_offset	temp_offset	humidity_offset	rf_tune_id	manufacturing_lot	raw_rssi_dbm	raw_snr_db	temperature_c	pressure_hpa	relative_humidity_pct	wind_dir_deg	wind_speed_ms	phase
29	29	1.5	19.89496	73.833238	1305.0	-7.19	4.15	1.5	3791	124	23.9	11	3	1.2	0.9	0.8	1869	52391000	2	0.13	-0.2	0.5	403	M4643053	-85	11.3	33.9	931.2	11.0	330.0	8.3	ascent
30	30	1.25	19.894698	73.833398	1310.0	-7.27	4.2	1.25	3806	118	23.2	10	3	1.5	1.5	0.3	1869	52395000	2	-0.21	-0.02	1.0	403	M4643053	-81	11.0	33.9	930.7	12.0	330.0	8.4	ascent
31	31	1.0	19.894434	73.833561	1314.0	-7.36	4.25	1.0	3794	118	23.7	8	3	1.2	0.9	0.8	1869	52399000	2	0.18	0.19	0.9	403	M4643053	-86	16.5	33.9	930.3	12.0	330.0	8.5	ascent
32	32	0.75	19.894169	73.833723	1317.0	-7.36	4.25	0.75	3797	119	23.4	10	3	1.4	1.4	0.3	1869	52403000	2	-0.2	0.18	0.5	403	M4643053	-82	9.3	33.9	929.9	12.0	330.0	8.5	ascent
33	33	1.0	19.893902	73.833887	1321.0	-7.45	4.3	1.0	3797	115	23.3	11	3	2.0	1.0	1.7	1869	52407000	2	-0.05	0.12	0.9	403	M4643053	-80	15.8	33.8	929.6	12.0	330.0	8.6	ascent
34	34	0.75	19.893634	73.834052	1324.0	-7.45	4.3	0.75	3791	124	23.8	9	3	2.3	1.1	2.0	1869	52411000	2	0.23	-0.04	0.1	403	M4643053	-84	16.4	33.8	929.2	11.0	330.0	8.6	ascent
35	35	1.25	19.893364	73.834218	1329.0	-7.53	4.35	1.25	3791	116	23.0	12	3	1.5	1.3	0.7	1869	52415000	2	-0.18	-0.19	-0.2	403	M4643053	-80	16.1	33.8	928.7	1.0	330.0	8.7	ascent
36	36	1.0	19.893096	73.834389	1333.0	-7.46	4.48	1.0	3795	116	23.2	10	3	1.8	1.3	1.2	1869	52419000	2	0.22	0.12	-0.4	403	M4643053	-86	12.2	33.7	928.3	1.0	329.0	8.7	ascent
37	37	1.25	19.892828	73.83456	1338.0	-7.46	4.48	1.25	3792	118	23.6	11	3	1.9	1.7	0.8	1869	52423000	2	0.21	0.04	0.5	403	M4643053	-88	10.6	33.7	927.8	1.0	329.0	8.7	ascent
38	38	1.0	19.892557	73.834734	1342.0	-7.54	4.53	1.0	3801	123	23.6	9	3	1.1	1.2	0.3	1869	52427000	2	-0.25	-0.15	0.3	403	M4643053	-83	15.7	33.7	927.3	1.0	329.0	8.8	ascent
39	39	1.25	19.892286	73.834907	1347.0	-7.54	4.53	1.25	3797	115	23.6	12	3	1.9	1.3	1.4	1869	52431000	2	-0.16	-0.11	0.4	403	M4643053	-82	13.0	33.6	926.9	1.0	329.0	8.8	ascent
40	40	1.0	19.892014	73.83508	1351.0	-7.54	4.53	1.0	3798	117	23.7	12	3	2.2	1.5	1.6	1869	52435000	2	0.02	0.2	-0.2	403	M4643053	-81	8.2	33.6	926.4	1.0	329.0	8.8	ascent
41	41	1.25	19.891743	73.835253	1356.0	-7.54	4.53	1.25	3792	116	23.8	8	3	2.2	1.8	1.3	1869	52439000	2	-0.11	0.06	-0.4	403	M4643053	-81	9.9	33.6	925.9	1.0	329.0	8.8	ascent
42	42	1.5	19.891472	73.835426	1362.0	-7.54	4.53	1.5	3794	122	23.4	8	3	1.3	1.2	0.5	1869	52443000	2	-0.3	0.18	-0.0	403	M4643053	-88	15.3	33.5	925.3	1.0	329.0	8.8	ascent
43	43	1.5	19.891201	73.8356	1368.0	-7.54	4.53	1.5	3793	115	23.6	12	3	1.6	1.8	0.3	1869	52447000	2	-0.24	-0.02	0.7	403	M4643053	-83	17.1	33.5	924.7	1.0	329.0	8.8	ascent
44	44	1.25	19.89093	73.835773	1373.0	-7.54	4.53	1.25	3790	115	23.1	8	3	1.2	1.6	0.3	1869	52451000	2	0.26	0.13	-0.5	403	M4643053	-82	13.0	33.4	924.1	1.0	329.0	8.8	ascent
45	45	1.25	19.890659	73.835946	1378.0	-7.54	4.53	1.25	3800	119	23.6	8	3	1.9	1.3	1.4	1869	52455000	2	-0.24	0.05	-0.2	403	M4643053	-80	15.6	33.4	923.7	1.0	329.0	8.8	ascent
46	46	0.75	19.890388	73.836119	1381.0	-7.54	4.53	0.75	3801	115	23.3	10	3	2.1	1.4	1.6	1869	52459000	2	-0.24	0.06	0.7	403	M4643053	-83	16.2	33.3	923.3	1.0	329.0	8.8	ascent
47	47	1.0	19.890117	73.836292	1385.0	-7.54	4.53	1.0	3799	115	23.8	10	3	2.3	1.7	1.5	1869	52463000	2	-0.1	-0.06	-0.7	403	M4643053	-88	12.7	33.3	922.9	1.0	329.0	8.8	ascent
48	48	1.0	19.889846	73.836466	1389.0	-7.54	4.53	1.0	3803	120	22.8	9	3	1.9	1.5	1.2	1869	52467000	2	-0.22	-0.01	0.5	403	M4643053	-82	12.7	33.3	922.5	1.0	329.0	8.8	ascent
49	49	1.25	19.889578	73.836637	1394.0	-7.46	4.48	1.25	3800	116	23.4	11	3	1.2	0.8	0.9	1869	52471000	2	0.29	-0.14	0.8	403	M4643053	-83	16.8	33.2	922.0	1.0	329.0	8.7	ascent
50	50	1.25	19.889313	73.836813	1399.0	-7.38	4.61	1.25	3797	122	23.3	12	3	2.0	1.2	1.6	1869	52475000	2	-0.01	0.14	-0.9	403	M4643053	-81	13.6	33.2	921.5	1.0	328.0	8.7	ascent
51	51	1.0	19.889048	73.836989	1403.0	-7.38	4.61	1.0	3802	120	23.4	8	3	2.4	0.8	2.3	1869	52479000	2	0.13	-0.05	-0.3	403	M4643053	-81	13.0	33.1	921.1	1.0	328.0	8.7	ascent
52	52	1.0	19.888783	73.837165	1407.0	-7.38	4.61	1.0	3803	116	23.5	8	3	1.3	1.1	0.7	1869	52483000	2	-0.17	-0.04	-0.6	403	M4643053	-80	9.2	33.1	920.6	1.0	328.0	8.7	ascent
53	53	1.25	19.888521	73.837339	1412.0	-7.29	4.56	1.25	3799	122	23.3	12	3	1.2	1.8	0.3	1869	52487000	2	0.21	-0.1	0.3	403	M4643053	-89	16.0	33.1	920.1	1.0	328.0	8.6	ascent
54	54	1.25	19.888259	73.837514	1417.0	-7.29	4.56	1.25	3791	120	23.7	10	3	1.2	1.4	0.3	1869	52491000	2	0.26	0.08	0.9	403	M4643053	-80	8.9	33.0	919.6	1.0	328.0	8.6	ascent
55	55	1.5	19.887997	73.837688	1423.0	-7.29	4.56	1.5	3803	123	23.1	8	3	2.1	1.6	1.4	1869	52495000	2	-0.3	0.17	-0.6	403	M4643053	-86	17.8	33.0	919.1	1.0	328.0	8.6	ascent
56	56	1.0	19.887738	73.83786	1427.0	-7.21	4.5	1.0	3791	123	23.4	12	3	2.2	1.7	1.4	1869	52499000	2	0.12	0.05	0.7	403	M4643053	-84	10.9	32.9	918.6	1.0	328.0	8.5	ascent
57	57	1.0	19.887479	73.838032	1431.0	-7.21	4.5	1.0	3789	124	23.5	10	3	1.8	1.0	1.5	1869	52503000	2	0.06	0.12	0.6	403	M4643053	-86	10.3	32.9	918.2	1.0	328.0	8.5	ascent
58	58	0.75	19.88722	73.838204	1434.0	-7.21	4.5	0.75	3795	122	23.5	9	3	1.2	1.7	0.3	1869	52507000	2	0.13	0.2	0.4	403	M4643053	-85	15.9	32.9	917.9	1.0	328.0	8.5	ascent
59	59	1.0	19.886964	73.838374	1438.0	-7.12	4.45	1.0	3802	117	23.2	9	3	2.0	1.7	1.1	1869	52511000	2	-0.24	-0.07	0.6	403	M4643053	-81	10.8	32.8	917.5	1.0	328.0	8.4	ascent
60	60	0.75	19.886708	73.838544	1441.0	-7.12	4.45	0.75	3791	120	23.5	11	3	1.7	1.6	0.6	1869	52515000	2	0.17	0.14	-0.8	403	M4643053	-85	13.5	32.8	917.1	1.0	328.0	8.4	ascent
61	61	1.0	19.886452	73.838714	1445.0	-7.12	4.45	1.0	3790	120	22.8	10	3	2.1	1.7	1.2	1869	52519000	2	-0.03	-0.0	0.6	403	M4643053	-88	13.9	32.8	916.8	1.0	328.0	8.4	ascent
62	62	1.0	19.886196	73.838884	1449.0	-7.12	4.45	1.0	3794	116	23.5	12	3	1.8	0.9	1.6	1869	52523000	2	0.08	0.1	0.6	403	M4643053	-85	10.3	32.7	916.4	1.0	328.0	8.4	ascent
63	63	0.75	19.885943	73.839052	1452.0	-7.04	4.4	0.75	3793	122	23.5	11	3	1.1	1.1	0.3	1869	52527000	2	-0.08	-0.09	0.5	403	M4643053	-85	8.4	32.7	916.0	1.0	328.0	8.3	ascent
64	64	1.0	19.88569	73.839221	1456.0	-7.04	4.4	1.0	3792	123	23.1	8	3	1.7	0.8	1.5	1869	52531000	2	-0.08	0.12	0.5	403	M4643053	-85	17.9	32.7	915.6	2.0	328.0	8.3	ascent
65	65	1.0	19.885437	73.839389	1460.0	-7.04	4.4	1.0	3792	119	23.0	9	3	1.8	1.5	1.0	1869	52535000	2	-0.16	-0.19	-0.6	403	M4643053	-85	16.2	32.6	915.3	4.0	328.0	8.3	ascent
66	66	0.75	19.885184	73.839557	1463.0	-7.04	4.4	0.75	3796	116	22.7	10	3	1.8	1.1	1.4	1869	52539000	2	0.04	-0.07	0.5	403	M4643053	-86	13.3	32.6	914.9	6.0	328.0	8.3	ascent
67	67	1.0	19.884931	73.839725	1467.0	-7.04	4.4	1.0	3796	118	22.7	9	3	2.4	1.0	2.2	1869	52543000	2	-0.05	-0.1	-1.0	403	M4643053	-83	11.8	32.6	914.5	8.0	328.0	8.3	ascent
68	68	1.0	19.884675	73.839888	1471.0	-7.11	4.27	1.0	3802	122	23.6	9	3	1.3	1.7	0.3	1869	52547000	2	-0.18	0.02	0.8	403	M4643053	-85	14.9	32.5	914.1	9.0	329.0	8.3	ascent
69	69	0.75	19.884423	73.840049	1474.0	-7.03	4.22	0.75	3797	122	23.5	10	3	1.9	1.0	1.6	1869	52551000	2	0.06	-0.04	0.3	403	M4643053	-89	10.6	32.5	913.8	10.0	329.0	8.2	ascent
70	70	1.0	19.88417	73.840211	1478.0	-7.03	4.22	1.0	3792	115	23.0	12	3	2.5	1.4	2.1	1869	52555000	2	-0.08	-0.11	-1.0	403	M4643053	-82	14.9	32.5	913.4	10.0	329.0	8.2	ascent
71	71	1.0	19.883918	73.840372	1482.0	-7.03	4.22	1.0	3797	122	23.6	12	3	2.2	1.3	1.8	1869	52559000	2	-0.1	0.14	-0.1	403	M4643053	-87	8.1	32.5	913.0	11.0	329.0	8.2	ascent
72	72	1.0	19.883665	73.840534	1486.0	-7.03	4.22	1.0	3795	115	23.1	9	3	2.1	1.5	1.5	1869	52563000	2	0.06	-0.01	0.4	403	M4643053	-86	9.6	32.4	912.5	11.0	329.0	8.2	ascent
73	73	1.0	19.883413	73.840695	1490.0	-7.03	4.22	1.0	3792	122	22.9	8	3	1.9	1.7	0.8	1869	52567000	2	0.21	-0.01	0.7	403	M4643053	-82	9.3	32.4	912.1	12.0	329.0	8.2	ascent
74	74	1.0	19.88316	73.840856	1494.0	-7.03	4.22	1.0	3791	121	23.1	9	3	1.4	1.5	0.3	1869	52571000	2	-0.24	-0.17	-0.1	403	M4643053	-86	16.9	32.4	911.7	12.0	329.0	8.2	ascent
75	75	1.0	19.882908	73.841018	1498.0	-7.03	4.22	1.0	3790	116	23.4	11	3	1.9	1.8	0.6	1869	52575000	2	-0.21	0.15	-0.3	403	M4643053	-87	16.4	32.3	911.3	12.0	329.0	8.2	ascent
76	76	1.0	19.882655	73.841179	1502.0	-7.03	4.22	1.0	3794	124	23.4	11	3	1.9	1.0	1.6	1869	52579000	2	0.27	-0.2	0.2	403	M4643053	-81	9.9	32.3	910.9	12.0	329.0	8.2	ascent
77	77	1.0	19.882402	73.84134	1506.0	-7.03	4.22	1.0	3803	122	22.6	9	3	2.1	1.8	1.1	1869	52583000	2	0.3	0.16	-0.6	403	M4643053	-86	13.0	32.2	910.5	13.0	329.0	8.2	ascent
78	78	1.0	19.882153	73.841506	1510.0	-6.95	4.35	1.0	3802	119	23.4	8	3	1.2	1.3	0.3	1869	52587000	2	0.16	0.17	0.6	403	M4643053	-89	17.2	32.2	910.2	13.0	328.0	8.2	ascent
79	79	1.0	19.881903	73.841673	1514.0	-6.95	4.35	1.0	3793	115	22.6	11	3	2.3	0.8	2.2	1869	52591000	2	0.05	-0.12	-0.2	403	M4643053	-85	10.5	32.2	909.8	13.0	328.0	8.2	ascent
80	80	0.75	19.881656	73.841837	1517.0	-6.87	4.29	0.75	3789	123	22.7	10	3	1.6	1.0	1.2	1869	52595000	2	-0.13	-0.02	1.0	403	M4643053	-80	8.1	32.1	909.4	13.0	328.0	8.1	ascent
81	81	1.0	19.881409	73.842001	1521.0	-6.87	4.29	1.0	3794	124	22.8	9	3	2.4	0.8	2.3	1869	52599000	2	-0.21	-0.06	0.5	403	M4643053	-81	13.5	32.1	909.0	13.0	328.0	8.1	ascent
82	82	1.0	19.881162	73.842165	1525.0	-6.87	4.29	1.0	3797	116	23.2	8	3	2.1	1.0	1.8	1869	52603000	2	0.29	-0.0	0.1	403	M4643053	-89	16.9	32.1	908.6	13.0	328.0	8.1	ascent
83	83	0.75	19.880915	73.842329	1528.0	-6.87	4.29	0.75	3798	117	23.3	8	3	2.3	1.0	2.1	1869	52607000	2	0.19	-0.18	0.7	403	M4643053	-82	12.5	32.0	908.3	13.0	328.0	8.1	ascent
84	84	1.0	19.880669	73.842493	1532.0	-6.87	4.29	1.0	3790	121	22.9	10	3	2.3	1.3	1.9	1869	52611000	2	-0.18	-0.0	0.2	403	M4643053	-83	11.7	32.0	907.9	13.0	328.0	8.1	ascent
85	85	0.75	19.880425	73.842655	1535.0	-6.78	4.24	0.75	3796	118	22.5	11	3	2.1	1.3	1.6	1869	52615000	2	0.15	0.2	0.5	403	M4643053	-81	8.2	32.0	907.6	13.0	328.0	8.0	ascent
86	86	1.0	19.880181	73.842817	1539.0	-6.78	4.24	1.0	3802	120	23.3	8	3	1.9	1.5	1.2	1869	52619000	2	-0.2	-0.18	-0.6	403	M4643053	-89	11.7	31.9	907.2	13.0	328.0	8.0	ascent
87	87	1.0	19.879937	73.842979	1543.0	-6.78	4.24	1.0	3788	117	23.0	10	3	2.3	1.0	2.1	1869	52623000	2	-0.28	-0.11	0.8	403	M4643053	-86	9.9	31.9	906.8	13.0	328.0	8.0	ascent
88	88	1.0	19.879696	73.843138	1547.0	-6.7	4.19	1.0	3791	115	22.6	9	3	1.3	1.8	0.3	1869	52627000	2	-0.08	0.06	-0.3	403	M4643053	-81	8.6	31.8	906.4	13.0	328.0	7.9	ascent
89	89	1.0	19.879458	73.843303	1551.0	-6.63	4.3	1.0	3793	118	23.2	12	3	2.3	1.0	2.1	1869	52631000	2	0.24	-0.11	-0.2	403	M4643053	-84	13.5	31.8	906.0	14.0	327.0	7.9	ascent
90	90	0.75	19.87922	73.843467	1554.0	-6.63	4.3	0.75	3797	122	22.7	12	3	1.5	1.6	0.3	1869	52635000	2	0.23	-0.08	-0.5	403	M4643053	-80	13.9	31.8	905.7	14.0	327.0	7.9	ascent
91	91	0.75	19.878985	73.84363	1557.0	-6.54	4.25	0.75	3793	122	23.0	9	3	1.1	1.3	0.3	1869	52639000	2	0.09	-0.15	0.7	403	M4643053	-82	15.5	31.7	905.4	14.0	327.0	7.8	ascent
92	92	1.0	19.87875	73.843792	1561.0	-6.54	4.25	1.0	3794	118	23.0	8	3	1.3	1.4	0.3	1869	52643000	2	-0.11	0.15	0.2	403	M4643053	-88	8.6	31.7	905.0	14.0	327.0	7.8	ascent
93	93	0.75	19.878515	73.843954	1564.0	-6.54	4.25	0.75	3790	119	22.7	9	3	1.4	1.3	0.5	1869	52647000	2	-0.08	-0.14	0.8	403	M4643053	-86	14.0	31.7	904.7	14.0	327.0	7.8	ascent
94	94	1.0	19.878283	73.844114	1568.0	-6.46	4.19	1.0	3801	118	23.4	10	3	2.0	1.4	1.4	1869	52651000	2	-0.24	-0.15	-0.2	403	M4643053	-89	10.3	31.6	904.3	14.0	327.0	7.7	ascent
95	95	1.0	19.878051	73.844275	1572.0	-6.46	4.19	1.0	3789	119	23.4	11	3	1.6	1.5	0.6	1869	52655000	2	-0.02	-0.14	0.7	403	M4643053	-83	12.0	31.6	903.8	14.0	327.0	7.7	ascent
96	96	1.25	19.877819	73.844435	1577.0	-6.46	4.19	1.25	3798	123	22.8	11	3	1.2	1.7	0.3	1869	52659000	2	-0.03	0.11	-0.9	403	M4643053	-84	9.6	31.6	903.4	14.0	327.0	7.7	ascent
97	97	1.25	19.877587	73.844595	1582.0	-6.46	4.19	1.25	3789	115	22.5	12	3	2.4	1.1	2.1	1869	52663000	2	-0.24	-0.06	-0.5	403	M4643053	-86	8.1	31.5	902.9	14.0	327.0	7.7	ascent
98	98	1.0	19.877358	73.844753	1586.0	-6.37	4.14	1.0	3789	120	22.5	8	3	1.5	1.5	0.3	1869	52667000	2	-0.16	0.14	0.0	403	M4643053	-85	17.2	31.5	902.5	14.0	327.0	7.6	ascent
99	99	0.75	19.877129	73.844911	1589.0	-6.37	4.14	0.75	3796	116	23.0	11	3	2.0	1.1	1.7	1869	52671000	2	-0.15	-0.15	0.9	403	M4643053	-84	10.4	31.4	902.1	14.0	327.0	7.6	ascent
100	100	1.0	19.8769	73.84507	1593.0	-6.37	4.14	1.0	3798	120	22.5	10	3	2.0	1.5	1.3	1869	52675000	2	-0.19	0.17	-1.0	403	M4643053	-82	12.8	31.4	901.8	14.0	327.0	7.6	ascent
101	101	0.75	19.876671	73.845228	1596.0	-6.37	4.14	0.75	3800	116	22.6	8	3	1.7	1.4	1.0	1869	52679000	2	-0.16	-0.13	0.2	403	M4643053	-84	11.5	31.4	901.4	14.0	327.0	7.6	ascent
102	102	1.0	19.876445	73.845384	1600.0	-6.29	4.08	1.0	3789	119	22.9	10	3	2.3	1.7	1.5	1869	52683000	2	-0.13	-0.03	-0.9	403	M4643053	-84	14.4	31.3	901.0	14.0	327.0	7.5	ascent
103	103	1.0	19.876219	73.84554	1604.0	-6.29	4.08	1.0	3800	120	23.3	10	3	2.1	1.3	1.6	1869	52687000	2	-0.11	-0.03	0.6	403	M4643053	-88	15.9	31.3	900.7	14.0	327.0	7.5	ascent
104	104	0.75	19.875993	73.845696	1607.0	-6.29	4.08	0.75	3794	121	23.1	8	3	2.1	1.1	1.8	1869	52691000	2	-0.08	0.17	0.7	403	M4643053	-83	11.2	31.3	900.3	14.0	327.0	7.5	ascent
105	105	0.75	19.875767	73.845852	1610.0	-6.29	4.08	0.75	3789	116	22.5	10	3	1.2	1.4	0.3	1869	52695000	2	-0.09	0.1	0.1	403	M4643053	-86	16.0	31.3	900.0	14.0	327.0	7.5	ascent
106	106	1.0	19.875541	73.846008	1614.0	-6.29	4.08	1.0	3791	116	22.7	11	3	1.3	1.7	0.3	1869	52699000	2	0.05	-0.1	-0.6	403	M4643053	-89	16.5	31.2	899.6	14.0	327.0	7.5	ascent
107	107	0.75	19.875315	73.846164	1617.0	-6.29	4.08	0.75	3791	117	22.9	9	3	2.2	1.0	2.0	1869	52703000	2	0.06	0.12	0.2	403	M4643053	-83	11.9	31.2	899.3	14.0	327.0	7.5	ascent
108	108	1.0	19.875092	73.846318	1621.0	-6.21	4.03	1.0	3786	124	23.2	11	3	1.2	1.2	0.3	1869	52707000	2	0.2	-0.18	0.2	403	M4643053	-85	9.9	31.1	898.9	14.0	327.0	7.4	ascent
109	109	0.75	19.874869	73.846472	1624.0	-6.21	4.03	0.75	3786	117	22.3	11	3	2.3	1.4	1.8	1869	52711000	2	0.14	-0.17	-0.6	403	M4643053	-86	10.0	31.1	898.6	14.0	327.0	7.4	ascent
110	110	0.75	19.874646	73.846626	1627.0	-6.21	4.03	0.75	3799	115	23.2	12	3	1.3	1.0	0.8	1869	52715000	2	-0.17	0.14	0.4	403	M4643053	-85	8.2	31.1	898.3	14.0	327.0	7.4	ascent
111	111	1.0	19.874423	73.84678	1631.0	-6.21	4.03	1.0	3787	118	22.7	12	3	1.3	1.3	0.3	1869	52719000	2	0.25	0.1	0.7	403	M4643053	-89	17.8	31.1	898.0	14.0	327.0	7.4	ascent
